,id,genre,track_name,artist_name,valence,energy,mood_vec,distances
1842,2fpuIX78vsLq4lMlOA9RVv,forro,Simbora Beber,Various Artists,0.708,0.777,"[0.708, 0.777]",0.44460319387066927
1843,7J3l8kzycdluePAQ8NAQ3e,forro,Quando a Noite Chegar,Limão Com Mel,0.413,0.737,"[0.413, 0.737]",0.2651735280905694
1844,3doAsqVGWqbFeZI4oQjkg3,forro,Pot Pourri: Lindo Lago do Amor / Lembrança de Um Beijo,Menina do Céu,0.853,0.672,"[0.853, 0.672]",0.6222877148072263
1845,6su80jnDKzbU8gBJu49Gsi,forro,Valsa Neném,Jackson Do Pandeiro,0.813,0.818,"[0.813, 0.818]",0.5255720692730922
1846,3oFi823YwnvOlHNalaE94o,forro,Chegou A Hora Da Fogueira / Pula A Fogueira - Medley,Forroçacana,0.965,0.604,"[0.965, 0.604]",0.7532874617302481
1847,6zXYFJjcjbCcMXdl44Xnqp,forro,Eu Não Sou de Ninguém,Leo Estakazero,0.805,0.947,"[0.805, 0.947]",0.4923179866712164
1848,4dMyKNzIZqh1k0qN9lTUFO,forro,Sem Graça Sem Jeito,Forró do Muido,0.864,0.877,"[0.864, 0.877]",0.560121415409195
1849,14q8HRl1ZvOxFPdwHWTtOY,forro,Desaforo,Falamansa,0.965,0.602,"[0.965, 0.602]",0.7542956979858761
1850,1HCgiisVYMZDv1IbKcpLWT,french,Le Chat du Café des Artistes,Charlotte Gainsbourg,0.217,0.492,"[0.217, 0.492]",0.5004897601350101
1851,2WICI2ThhGuICHt8EKhVSO,french,Avant que je m'ennuie,Mathieu Boogaerts,0.552,0.312,"[0.552, 0.312]",0.7119585662101412
1852,0BT3cuW3X8FfEZS4gflGnM,french,Ma Petite Entreprise,Alain Bashung,0.677,0.705,"[0.677, 0.705]",0.4572231402717934
1853,1RaR8WtMyeeS3hQEfSXOER,french,Je Chante,Charles Trenet,0.732,0.845,"[0.732, 0.845]",0.4401908676926408
1854,3RlLkXrj3iRDQRmTWNznB6,french,NUITS FAUVES,Fauve,0.541,0.728,"[0.541, 0.728]",0.34140005858230316
1855,4HCYk4muEYb0XfcmF4BpmG,french,Une seule vie (Marcher dans le sable),De Palmas,0.824,0.705,"[0.824, 0.705]",0.580847656447024
1856,2eanAA7xH8HgGN8jahJOsJ,french,Mon légionnaire,Serge Gainsbourg,0.919,0.72,"[0.919, 0.72]",0.6596923525401821
1857,5HQVUIKwCEXpe7JIHyY734,french,"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,0.531,0.655,"[0.531, 0.655]",0.39328488402174827
1858,0MyY4WcN7DIfbSmp5yej5z,french,Da Funk,Daft Punk,0.892,0.7,"[0.892, 0.7]",0.6435627397542528
1859,2UE1LplKFZwAQmDOMd2I5n,french,La chanson des vieux amants,Jacques Brel,0.231,0.26,"[0.231, 0.26]",0.7277485829598022
1860,3hOFuhQ9irpUOyp7VJUviR,french,Les Feuilles Mortes,Juliette Gréco,0.231,0.382,"[0.231, 0.382]",0.6067042112924551
1861,2wqdIqL2lMtzmJ5BrkFhNG,french,Le Jardin extraordinaire,Charles Trenet,0.531,0.151,"[0.531, 0.151]",0.8598331233442917
1862,3zKST4nk4QJE77oLjUZ0Ng,french,Hey Brother,Avicii,0.458,0.78,"[0.458, 0.78]",0.24888752479784917
1863,2Foc5Q5nqNiosCNqttzHof,french,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,0.862,0.811,"[0.862, 0.811]",0.5743587728937376
1864,0GIRUl3YJAGBauaqe10oWm,french,La Liste,Rose,0.461,0.451,"[0.461, 0.451]",0.5519356846590009
1865,2MV1c9NmpRSsyH5DwTNlTU,french,Summertime,Stromae,0.467,0.667,"[0.467, 0.667]",0.35109115625432663
1866,2VfEGjXmGTgOH8VYSGqt4e,french,Mon mec à moi,Patricia Kaas,0.635,0.544,"[0.635, 0.544]",0.5438400500147079
1867,63rvyrbPmHxs0RvS9jLoOt,french,Ce mortel ennui,Serge Gainsbourg,0.394,0.267,"[0.394, 0.267]",0.720455411528014
1868,0GYiR69nVkUkQzgEwUrVUQ,french,Salut marin,Carla Bruni,0.485,0.352,"[0.485, 0.352]",0.6537598947625956
1869,4858I1hvKDTMxqlls0rkEv,french,Toujours,Zaz,0.889,0.882,"[0.889, 0.882]",0.583803048981418
1870,6ep0FCUj0vYCcINc0EGUBK,french,Ça ira,Joyce Jonathan,0.856,0.644,"[0.856, 0.644]",0.6392847565834806
1871,4LwCURP4MuBW9XgDnxxj1A,french,"Dingue, dingue, dingue",Christophe Maé,0.571,0.856,"[0.571, 0.856]",0.2866670542633038
1872,5AkwObmYJfSZchpZYirTiu,french,J'ai demandé a la lune,Indochine,0.624,0.626,"[0.624, 0.626]",0.47280968687200137
1873,1u2ydliHqffc25Nb7VuYP2,french,Péché d'envie,Carla Bruni,0.404,0.411,"[0.404, 0.411]",0.5790371317972622
1874,5psThz6OtPQboQPvakrz0R,french,Ca Me Vexe,Mademoiselle K,0.241,0.82,"[0.241, 0.82]",0.17860011198204778
1875,0PZiPbrDCdORrSW6IIICRG,french,Qui de nous deux,-M-,0.727,0.704,"[0.727, 0.704]",0.4984074638285426
1876,4XeQUET4Cr4uJPjAkGs8zk,french,Vous Qui Passez Sans Me Voir,Various Artists,0.176,0.214,"[0.176, 0.214]",0.7812841992514632
1877,7Ie84YBgPUjWM03kcyUWBb,french,Le métèque,Georges Moustaki,0.551,0.275,"[0.551, 0.275]",0.7466143582867931
1878,6GKVPJAn4If4mdREJfaPdU,french,Siffler sur la colline,Joe Dassin,0.538,0.602,"[0.538, 0.602]",0.4419694559582144
1879,4kO7mrAPfqIrsKwUOK5BFx,french,Midnight City,M83,0.272,0.729,"[0.272, 0.729]",0.25744902408049636
1880,5MyjXdc0lRmr1DdfxH0tVa,french,Printemps,Cœur De Pirate,0.536,0.507,"[0.536, 0.507]",0.5252237618387043
1881,4IWTdLHEuYF5ndk6XOpbmD,french,L'appareil à sous,Brigitte Bardot,0.964,0.671,"[0.964, 0.671]",0.7210020804408264
1882,0TdnNoSz5Z1s9iekOk5DED,french,Ta douleur,Camille,0.648,0.385,"[0.648, 0.385]",0.6849525531013079
1883,3HNEdgclzcx0jsaQs9BgXb,french,La tendresse,Jacques Brel,0.354,0.325,"[0.354, 0.325]",0.659214684302466
1884,6HFbq7cewJ7rPiffV0ciil,french,A Sky Full of Stars,Coldplay,0.162,0.675,"[0.162, 0.675]",0.3434646997873289
1885,6mtxoVG88R0fGQMYWVBRYI,french,Aline,Various Artists,0.459,0.565,"[0.459, 0.565]",0.4424353060052961
1886,3GiUIlW3jVCzuqeWkyZsik,french,Lola rastaquouère,Serge Gainsbourg,0.83,0.446,"[0.83, 0.446]",0.7447314952383846
1887,1Gw2viJ4XE9hylW4ujtNef,french,"Il est cinq heures, Paris s'éveille",Jacques Dutronc,0.746,0.662,"[0.746, 0.662]",0.5382053511439662
1888,4FVC0Zv0fu9C8izOfj7xiu,french,Marcia Baila,Les Rita Mitsouko,0.679,0.892,"[0.679, 0.892]",0.3761728326181996
1889,2YqJtf70He3fRyMixKLp8J,french,La Java Bleue,Various Artists,0.881,0.481,"[0.881, 0.481]",0.7572932060965555
1890,6pFZIneQWt7wBLNVRD06VT,french,Pour un flirt - Live à l'Olympia / 1992,Michel Delpech,0.793,0.802,"[0.793, 0.802]",0.5120566374923774
1891,4qrB8LBzdTwrFhD1ZfhgBe,french,La Vie en rose,Édith Piaf,0.225,0.0899,"[0.225, 0.0899]",0.8975235985755472
1892,09KIsSrfka411liNgOj3df,french,Mirza,Nino Ferrer,0.777,0.812,"[0.777, 0.812]",0.493568637577389
1893,3Bse0TTgPFtkOflVSHGub7,french,Au port,Camille,0.847,0.704,"[0.847, 0.704]",0.6016061834788602
1894,2cGxRwrMyEAp8dEbuZaVv6,french,Instant Crush (feat. Julian Casablancas),Daft Punk,0.518,0.585,"[0.518, 0.585]",0.4472359556207439
1895,05EqJWLF2YqwlBrX8MWiOK,french,Paris,David Donatien,0.496,0.286,"[0.496, 0.286]",0.7203700437969364
1896,6BAtHDZFdM7UkpGZsyBvQI,french,Saint-Laurent,Cœur De Pirate,0.228,0.507,"[0.228, 0.507]",0.4837065225940208
1897,3IbXwNdVC0GbpspQ1SElEP,french,Non je n'ai rien oublié,Charles Aznavour,0.337,0.274,"[0.337, 0.274]",0.7093729625521401
1898,1ZcUnNVLGnUnLxO7wXpVnv,french,J'ai tant escamoté,Zaz,0.666,0.435,"[0.666, 0.435]",0.6513125209912674
1899,4nlr4SaM33kD8QdkQcOeZz,french,Safari Disco Club,Yelle,0.914,0.639,"[0.914, 0.639]",0.6916183918896316
1900,6CSLNGruNhqpb5zhfs5n3i,funk,Celebration - Single Version,Kool & The Gang,0.931,0.656,"[0.931, 0.656]",0.698296498630775
1901,1UAA5hS4Ltn4QDmFeh5UCH,funk,Funk In The Hole,Roy Ayers,0.947,0.98,"[0.947, 0.98]",0.6330071089648204
1902,0xbkxTqSaW5blsYgRXpB5I,funk,Funkin' for Jamaica,Tom Browne,0.656,0.776,"[0.656, 0.776]",0.39976618166123057
1903,7BaCmGzaj4tzJkPT2JhkxO,funk,Workin' Day And Night,Michael Jackson,0.849,0.963,"[0.849, 0.963]",0.5353737012592231
1904,2TrNXQBxFEv7xqeOaJwPyS,funk,Hot Damn! (feat. John McCallum),The Haggis Horns,0.867,0.825,"[0.867, 0.825]",0.5751286812531609
1905,2INsiycUgobLSy4ksO4MzK,funk,Paint The Toon (feat. Connie Lush),6ix Toys,0.902,0.967,"[0.902, 0.967]",0.5882176467941098
1906,62fnuo5anKzkxu7fL8kp0d,funk,Get Down Baby,Excellent Gentlemen,0.731,0.457,"[0.731, 0.457]",0.6712413872818034
1907,66TSoVnJ1P9Tyok03zUlTr,funk,What Is Hip?,Tower Of Power,0.597,0.733,"[0.597, 0.733]",0.37760958674270967
